id,question,answer,wrong1,wrong2,wrong3,source,difficulty
315,"Colloquially, to signal one's intentions by a gesture or look is to what?",Telegraph,Telecast,Telephone,Televise,au,3
316,Of African and Cuban origins is which dance performed by a group usually in single file?,Conga,Mazurka,Rumba,Polka,au,3
317,"The main ingredients of a BLT sandwich are what, lettuce and tomato?",Bacon,Beetroot,Beef,Banana,au,3
318,Which of these would most likely be a swashbuckler?,Swordsman,Seamstress,Priest,Poet,au,3
319,Taken to find out general opinion is an unofficial what poll?,Straw,Snatch,Spot,Scratch,au,3
320,Which of these is the abbreviation of a non-invasive diagnostic technique?,MRI,RMI,IMR,IRM,au,3
321,Which of these is a musical instrument?,Euphonium,Euphorbia,Euphemism,Euploid,au,3
322,Which of these is not a Japanese dish?,Tsunami,Sashimi,Sukiyaki,Teriyaki,au,3
323,Which of North America's Great Lakes is also the name of a US state?,Michigan,Ontario,Erie,Huron,au,3
324,"Ending in c1000 BC, what age succeeded the Stone Age?",Bronze,Golden,Iron,Silver,au,3
325,What was the chief medieval weapon used in jousting?,Lance,Crossbow,Halberd,Mace,au,3
326,Which game is played with tiles rather than cards?,Mah-jong,Canasta,Old maid,Pontoon,au,3
327,"Giving the room its name, what shape is the US president's private office in the White House?",Oval,Round,Square,Triangular,au,3
328,"When things get progressively worse, they are said to go all the way in what direction?",Downhill,Downriver,Uphill,Upriver,au,3
329,Round which part of your body would you normally wear a choker?,Neck,Ankle,Waist,Wrist,au,3
330,Co. is typically the abbreviation for which word?,Company,Conglomerate,Condominium,Corporation,au,3
331,The American pioneer of mass production for motor vehicles was Henry who?,Ford,Chrysler,Dodge,Holden,au,3
332,Which word becomes the name of a bird when changing the L to an H?,Pleasant,Calm,Love,Tranquil,au,3
333,Which of these Italian dishes is essentially rice?,Risotto,Cannelloni,Gnocchi,Pizza,au,3
334,What was the German secret police of the Nazi regime?,Gestapo,Mossad,Savak,Stasi,au,3
335,What is the hard outer covering of teeth?,Enamel,Bone,Cartilage,Plaque,au,3
336,Which chess piece has the smallest size and value?,Pawn,Bishop,Knight,Rook,au,3
337,A cowboy doll named Woody is the central character in which movie (and sequel)?,Toy Story,Toys,Toys in the Attic,Toy Soldiers,au,3
338,Leonardo DiCaprio and Kate Winslet play the lovers in which 1997 film?,Titanic,As Good As It Gets,The Full Monty,LA Confidential,au,3
339,George Michael and Andrew Ridgeley made up what '80s UK pop-dance duo?,Wham!,Blaaam!,Ker-Pow!,Smash!,au,3
340,Which of these is the belief that there is only one god?,Monotheism,Monoculture,Monogenesis,Monophagy,au,3
341,Which of these gases is commonly used to inflate lighter-than-air balloons?,Helium,Oxygen,Nitrogen,Neon,au,3
342,Which of these would most likely employ a curator?,Museum,Church,Hospital,Farm,au,3
343,St Patrick's Day is celebrated annually on the 17th of which month?,March,April,August,May,au,3
344,Which of these words is a synonym for 'count'?,Enumerate,Entreat,Enunciate,Envisage,au,3
345,In which ocean are the islands of Polynesia?,Pacific,Atlantic,Indian,Southern,au,3
346,What part of the body are you said to keep up when remaining cheerful?,Chin,Hands,Knees,Nose,au,3
347,A network of wrinkles around the outer corner of one's eye is so named cos it resembles which bird's feet?,Crow,Albatross,Budgie,Duck,au,3
348,Mahatma Gandhi was a leader of the campaign for independence of which country?,India,Ceylon,Nepal,Burma,au,3
349,"Related to the camel, the domesticated llama is native to which continent?",South America,Africa,Asia,Australia,au,3
350,Which colour is not one of the three making up the Italian flag?,Blue,Green,Red,White,au,3
351,An Egyptian sphinx has the head of a human and the body of which animal?,Lion,Dog,Elephant,Snake,au,3
352,Which part of the body can be described as an orifice?,Mouth,Chin,Hand,Toe,au,3
353,"What occupation had Joseph, husband of the Virgin Mary?",Carpenter,Fisherman,Magistrate,Priest,au,3
354,Which acid is found in the juices of lemons and limes?,Citric,Boric,Lactic,Sulphuric,au,3
355,All signals are directed through what circuit board in a minicomputer?,Motherboard,Fatherboard,Brotherboard,Daughterboard,au,3
356,Australian Keith Urban made his name singing what kind of music?,Country,Opera,Jazz,Rap,au,4
357,Saskatchewan is a province of which country?,Canada,New Zealand,Indonesia,France,au,4
358,"Which of these is a smooth, glossy fabric?",Satin,Denim,Canvas,Linen,au,4
359,"In Australia, July is part of which season?",Winter,Autumn,Spring,Summer,au,4
360,What is the fourth planet from the sun?,Mars,Venus,Earth,Mercury,au,4
361,"According to the nursery rhyme, 'Diddle, diddle, what, my son John'?",Dumpling,Crumpet,Muffin,Pancake,au,4
362,"In the US, Emmys are awarded in which branch of entertainment?",TV,Film,Theatre,Radio,au,4
363,Gallipoli is a peninsula in which country?,Turkey,Germany,Italy,Norway,au,4
364,Made in 1987 was the US film 'Three Men and a what'?,Baby,Toddler,Papoose,Bub,au,4
365,What is the prestige that a business acquires beyond the mere value of what it sells?,Goodwill,Goodness,Goodo,Goodtime,au,4
366,Who was the drummer for The Beatles?,Ringo,John,Paul,George,au,4
367,Played with a metal slide is a what guitar?,Hawaiian,Alaskan,Virginian,Nebraskan,au,4
368,"Born in 1956, Bjorn Borg was a champion in which sport?",Tennis,Golf,Cycling,Swimming,au,4
369,Which of the grand slam tennis tournaments is played on grass?,Wimbledon,Australian Open,French Open,US Open,au,4
370,Which other game besides chess can be played on a chessboard?,Draughts,Chinese chequers,Dominoes,Ludo,au,4
371,Which word is not represented in the common abbreviation for a written acknowledgement of debt?,Pay,I,Owe,You,au,4
372,Which space shuttle disintegrated on its return to Earth in February 2003?,Columbia,Challenger,Discovery,Atlantis,au,4
373,A Shakespeare play is 'what Night'?,Twelfth,Tenth,First,Second,au,4
374,The banking abbreviation ATM stands for 'Automatic what Machine'?,Teller,Transfer,Transaction,Tally,au,4
375,Australia's highly venomous box jellyfish is also called the sea what?,Wasp,Fly,Bug,Bee,au,4
376,"Lino, a type of floor covering, is short for which original term?",Linoleum,Linocut,Linoleic acid,Linotype,au,4
377,A plectrum is used in conjunction with which type of musical instrument?,Stringed,Brass,Percussion,Woodwind,au,4
378,The human heart normally has how many chambers?,Four,Two,Three,Six,au,4
379,Striker's end is a term used in which sport?,Cricket,Boxing,Golf,Tennis,au,4
380,The name of which creature comes from words meaning 'terrible lizard'?,Dinosaur,Insect,Reptile,Amphibian,au,4
381,Which of these means 'to move confusedly in a circle'?,Mill around,Mell around,Mull around,Mall around,au,4
382,"Dying in 1400, Englishman Geoffrey Chaucer was a famous what?",Poet,Composer,Soldier,Bishop,au,4
383,"In golf, a birdie is how many strokes under par on a hole?",One,None,Two,Three,au,4
384,"Used in the military, America's Apache is a type of what?",Helicopter,Missile,Bomber,Tank,au,4
385,Pol Pot was a ruthless leader of which country in the 1970s?,Cambodia,Thailand,Laos,Burma,au,4
386,Squid have how many shorter arms in addition to two usually longer tentacles?,Eight,Four,Six,Ten,au,4
387,Cameron Diaz is one of the stars of the 1999 film 'Being John who'?,Malkovich,Goodman,Cusack,Travolta,au,4
388,Who would make best use of a Moog synthesiser?,Musician,Chemist,Doctor,Farmer,au,4
389,Causing a major oil spill off Alaska in 1989 was the tanker 'what Valdez'?,Exxon,Texaco,Chevron,Arco,au,4
390,Which US TV network was established by Rupert Murdoch?,Fox,ESPN,Lifetime,VH1,au,4
391,The word 'mural' ultimately derives from the Latin for what?,Wall,Ceiling,Floor,Roof,au,4
392,The League of Nations was established after which war?,World War I,Boer war,World War II,Korean War,au,4
393,What '80s TV series centred on two hunky police motorcyclists in and around LA?,CHIPS,BACON,EGGS,FISH,au,4
394,Which is a title of respect accorded to the nun in charge of a convent?,Reverend Mother,Esteemed Lady,Iron Maiden,Soul Sister,au,4
395,Who founded the People's Republic of China and became its leader in 1949?,Mao,Chang,Li,Wang,au,4
396,Which is both the past tense and past participle of 'speed'?,Sped,Speeds,Speeding,Speeded,au,4
397,What is the young of a horse called?,Foal,Calf,Fawn,Kid,au,4
398,What is the capital and largest city of Malaysia?,Kuala Lumpur,Bangkok,Jakarta,Phnom Penh,au,4
399,What is the official currency of Germany?,Euro,Deutschmark,Franc,Shilling,au,4
400,Which disease is inflammation of one or both lungs?,Pneumonia,Lumbago,Smallpox,Rabies,au,4
401,Which of these boats is a type of canoe?,Kayak,Catamaran,Dinghy,Junk,au,4
402,A deep glossy version of which colour is called jet?,Black,Green,Red,Yellow,au,4
403,"Kept as an international holiday in honour of workers, what date is May Day?",May 1st,May 10th,May 20th,May 31st,au,4
404,Which abbreviation is a soldier in the US army?,GI,AI,CI,EI,au,4
405,The Southern Ocean entirely surrounds which continent?,Antarctica,Africa,Asia,Australia,au,4
406,Which of these relates to a branch of dentistry?,Orthodontic,Orthotropic,Orthopaedic,Orthographic,au,4
407,Starring twins Mary-Kate and Ashley Olsen is the film 'New York what'?,Minute,Hour,Day,Week,au,4
408,'Return of the Jedi' is the subtitle of the film 'Star Wars: Episode what'?,VI,IV,V,VII,au,4
409,A legendary lawman of the Wild West was Wyatt who?,Earp,Urp,Oerp,Irp,au,4
410,The Huxtable family featured in which sitcom?,The Cosby Show,Family Ties,Full House,A Different World,au,4
411,Who is the central character of the classic John Bunyan work Pilgrim's Progress'?,Christian,Buddhist,Jew,Hindu,au,4
412,Which dinosaur had two horns over its eyes and one horn on its nose?,Triceratops,Allosaurus,Pteranodon,Diplodocus,au,4
413,Which of these countries is one of the Baltic States?,Estonia,Tanzania,Albania,Armenia,au,4
414,"In Jonathan Swift's 'Gulliver's Travels', which land is inhabited by tiny people?",Lilliput,Brobdingnag,Laputa,Balnibarbi,au,4
415,What does a lexicographer write?,Dictionaries,Biographies,Wills,Legislation,au,4
416,The radius is a bone in which part of the body?,Arm,Head,Leg,Pelvis,au,4
417,Which country is known to its people as Sverige?,Sweden,Belgium,Denmark,Spain,au,4
418,Which of these sporting events is not just quadrennial?,Formula 1,Cricket World Cup,Summer Olympics,Soccer World Cup,au,4
419,The number of members of a body required to be present to legally transact business is the what?,Quorum,Quondam,Quidnunc,Quota,au,4
420,To gain an advantage without being noticed is to steal a what?,March,June,May,April,au,4
421,Which of these is the medical term for blood poisoning?,Septicaemia,Anaemia,Leukaemia,Thalassaemia,au,4
422,What kind of music would most likely be played at a hoedown?,Country,Jazz,Classical,Soul,au,4
423,Krill constitute the principal food of certain what?,Whales,Birds,Apes,Snakes,au,4
424,REM commonly stands for 'what eye movement'?,Rapid,Red,Relative,Rolling,au,4
425,What kind of geographical feature is California's famous Mojave?,Desert,Lake,Mountain,Volcano,au,4
426,Which term denotes the distance in degrees east or west from the meridian of Greenwich?,Longitude,Altitude,Amplitude,Latitude,au,4
427,Which biblical character was the eldest son of Adam?,Cain,Abel,Noah,Seth,au,4
428,What is the outer layer of the human skin?,Epidermis,Epicanthus,Epididymis,Epiglottis,au,4
429,Which type of music is written for the repose of the souls of the dead?,Requiem,Rondo,Sonata,Symphony,au,4
430,Which is the splitting of an atomic nucleus often causing a significant release of energy?,Fission,Fraction,Friction,Fusion,au,4
431,Sliced bread dipped in egg beaten with milk and served dusted with sugar is what nationality toast?,French,English,Italian,Spanish,au,4
432,For what does the letter I stand in the email abbreviation FYI?,Information,I,Icon,Internet,au,4
433,"Site of a major US naval base, Guantanamo Bay is located on which Caribbean island?",Cuba,Barbados,Jamaica,Trinidad,au,4
434,Which of these art movements developed last?,Pop art,Impressionism,Gothic,Renaissance,au,4
435,Which boy's name is a synonym of 'candid'?,Frank,Colin,Harold,Ralph,au,4
436,"Colloquially, to leave unceremoniously and in haste is to cut and what?",Run,Dried,Paste,Thrust,au,4
437,What is a polygraph sometimes used to detect?,Lies,Earthquakes,Gold,Truffles,au,4
438,What fraction of a second is a millisecond?,Thousandth,Tenth,Hundredth,Millionth,au,4
439,The subject of the documentary 'Super Size Me' eats nothing but the food of which company?,McDonald's,KFC,Burger King,Pizza Hut,au,4
440,Peter Sellers played which 'Doctor' in a Stanley Kubrick film?,Strangelove,Cyclops,Mabuse,Death,au,4
441,To get a raw deal is to get the short end of the what?,Stick,Sheet,Straw,Shrift,au,4
442,The sport of curling is played on what kind of surface?,Ice,Clay,Grass,Synthetic,au,4
443,Which is an elementary particle present in the nucleus but with no electric charge?,Neutron,Electron,Krypton,Triton,au,4
444,Ghee is clarified butter especially used in the cuisine of which country?,India,Greece,Italy,Mexico,au,4
445,Which sugar is so named because it is present in milk?,Lactose,Fructose,Glucose,Sucrose,au,4
446,The Rottweiler is a dog originally bred in which country?,Germany,Albania,Russia,Spain,au,4
447,Which is not another name for the Devil?,Old Mick,Beelzebub,Lucifer,Satan,au,4
448,Thor was the god of thunder in which mythology?,Norse,Egyptian,Greek,Hindu,au,4
449,Tiananmen Square is located in the centre of which national capital?,Beijing,Hanoi,Seoul,Tokyo,au,4
450,Which metallic element is also the name of a US coin?,Nickel,Copper,Iron,Silver,au,4
451,Which ism is a system of extreme right-wing dictatorial government?,Fascism,Capitalism,Communism,Socialism,au,4
452,"In the US, the second Monday in October is a holiday commemorating which explorer?",Columbus,Champlain,Drake,De Soto,au,4
453,"On, around or over which part of her body would a woman normally wear a boa?",Neck,Legs,Hand,Waist,au,4
454,"Who directed the film 'Taxi Driver', starring Robert De Niro?",Martin Scorsese,Woody Allen,Steven Spielberg,Quentin Tarantino,au,4
455,Ricochet derives from which language?,French,Arabic,Greek,Hindi,au,4
456,Which colloquialism for relatives is not a palindrome?,Bro,Dad,Mum,Pop,au,4
457,What is a quiver a case for holding?,Arrows,Bullets,Golf clubs,Tennis racquets,au,4
458,What has someone described as nouveau riche recently acquired?,Wealth,Fame,Love,Respect,au,4
459,Which person would normally wear a diadem on his or her head?,Monarch,Builder,Graduate,Judge,au,4
